action;tote_batch_id;timestamp;location
tote-finished;324;2022-11-08 06:24:43.272000;consolidation
tote-finished;902;2022-11-08 06:24:50.276000;consolidation
add-to-batch_4;293;2022-11-08 06:24:53.639000;buffer
tote-finished;226;2022-11-08 06:24:56.622000;consolidation
tote-finished;469;2022-11-08 06:25:00.475000;consolidation
tote-finished;563;2022-11-08 06:25:06.822000;consolidation
tote-finished;273;2022-11-08 06:25:12.601000;consolidation
tote-finished;845;2022-11-08 06:25:18.107000;consolidation
tote-finished;436;2022-11-08 06:25:24.029000;consolidation
add-to-batch_4;327;2022-11-08 06:25:27.306000;buffer
batch-consolidate-end;batch-2;2022-11-08 06:25:30.218000;consolidation
tote-finished;573;2022-11-08 06:25:30.218000;consolidation
add-to-batch_4;211;2022-11-08 06:25:31.648000;buffer
add-to-batch_4;487;2022-11-08 06:25:41.945000;buffer
add-to-batch_4;159;2022-11-08 06:25:53.927000;buffer
add-to-batch_4;30;2022-11-08 06:26:06.338000;buffer
add-to-batch_4;629;2022-11-08 06:28:08.020000;buffer
add-to-batch_4;131;2022-11-08 06:28:38.599000;buffer
add-to-batch_4;335;2022-11-08 06:28:51.774000;buffer
batch-full;batch-4;2022-11-08 06:28:51.774000;buffer
batch-release;batch-4;2022-11-08 06:28:51.774000;buffer
batch-pick-start;batch-4;2022-11-08 06:28:51.774000;buffer
new-batch;batch-5;2022-11-08 06:29:21.885000;buffer
add-to-batch_5;713;2022-11-08 06:29:21.885000;buffer
add-to-batch_5;503;2022-11-08 06:29:37.997000;buffer
add-to-batch_5;735;2022-11-08 06:29:41.994000;buffer
add-to-batch_5;192;2022-11-08 06:29:57.898000;buffer
add-to-batch_5;360;2022-11-08 06:30:00.276000;buffer
add-to-batch_5;601;2022-11-08 06:30:03.723000;buffer
add-to-batch_5;808;2022-11-08 06:30:14.363000;buffer
add-to-batch_5;374;2022-11-08 06:30:17.191000;buffer
add-to-batch_5;998;2022-11-08 06:31:05.255000;buffer
add-to-batch_5;486;2022-11-08 06:31:35.391000;buffer
add-to-batch_5;474;2022-11-08 06:32:03.576000;buffer
add-to-batch_5;296;2022-11-08 06:32:07.317000;buffer
batch-full;batch-5;2022-11-08 06:32:07.317000;buffer
batch-release;batch-5;2022-11-08 06:32:07.317000;buffer
batch-pick-start;batch-5;2022-11-08 06:32:07.317000;buffer
new-batch;batch-6;2022-11-08 06:32:31.214000;buffer
add-to-batch_6;987;2022-11-08 06:32:31.214000;buffer
add-to-batch_6;925;2022-11-08 06:32:59.819000;buffer
add-to-batch_6;520;2022-11-08 06:33:03.067000;buffer
add-to-batch_6;836;2022-11-08 06:33:26.567000;buffer
add-to-batch_6;94;2022-11-08 06:33:49.234000;buffer
add-to-batch_6;397;2022-11-08 06:33:58.793000;buffer
batch-pick-end;batch-3;2022-11-08 06:34:02.269000;buffer
batch-consolidate-start;batch-3;2022-11-08 06:34:02.269000;consolidation
tote-finished;134;2022-11-08 06:34:08.452000;consolidation
tote-finished;616;2022-11-08 06:34:12.310000;consolidation
tote-finished;207;2022-11-08 06:34:18.623000;consolidation
tote-finished;73;2022-11-08 06:34:25.385000;consolidation
tote-finished;75;2022-11-08 06:34:32.052000;consolidation
add-to-batch_6;890;2022-11-08 06:34:37.262000;buffer
tote-finished;213;2022-11-08 06:34:37.275000;consolidation
tote-finished;575;2022-11-08 06:34:43.100000;consolidation
